time,A1,A2,A3,A4,A5,A6,A7
04/12/2023 01:00,0,0.129206129,0.000422697,0.127315696,0,0,0.10889943
04/12/2023 02:00,0,0.100085277,0,0.061631718,0,0,0.013108506
04/12/2023 03:00,0,0.016818817,0,0.00368993,0,0,0
04/12/2023 04:00,0,0,0,0,0,0,0
04/12/2023 05:00,0,0,0.00017364,0.001175499,0,0,0.017566216
04/12/2023 06:00,0,0.002742263,0.000594496,0.020827693,0,0,0.064197592
04/12/2023 07:00,0,0.025770988,5.82E-05,0.028468262,0,0,0.050911289
04/12/2023 08:00,0,0.024374858,0,0.009929523,0,0,0.008098332
04/12/2023 09:00,0,0.003334592,0,1.39E-05,0,0,0
04/12/2023 10:00,0,0,0,0,0,0,0
04/12/2023 11:00,0,0.001377214,0.000384688,0.001958427,0,0,0.006982888
04/12/2023 12:00,0,0.0583217,0.000733027,0.045959587,0,0,0.053555376
04/12/2023 13:00,0,0.085490696,0.000256972,0.088936374,0,0,0.056789291
04/12/2023 14:00,0,0.051755815,0,0.048448816,0,0,0.008305093
04/12/2023 15:00,0,0.004644821,0,0.002222121,0,0,0
04/12/2023 16:00,0,0,0,0,0,0,0
04/12/2023 17:00,0,5.86E-05,0.001601026,0.006757194,0,0,0.027224524
04/12/2023 18:00,0,0.067299316,0.003066524,0.05813946,0,0,0.130431215
04/12/2023 19:00,0,0.256616515,0.00173773,0.088187916,0,0,0.150466051
04/12/2023 20:00,0,0.434471706,0.000418819,0.062939236,0,0,0.070603262
04/12/2023 21:00,0,0.243960948,0,0.016006548,0,0,0.005632899
04/12/2023 22:00,0,0.048027857,0,3.47E-05,0,0,0
04/12/2023 23:00,0,0,0,0,0,0,0
05/12/2023 00:00,0,0.000126967,0.00027627,0.002923584,0,0,0.009333948
05/12/2023 01:00,0,0.043301517,0.000603488,0.053038137,0,0,0.041307063
05/12/2023 02:00,0,0.074826459,0.000114339,0.095578794,0,0,0.032589077
05/12/2023 03:00,0,0.069410396,0,0.057058966,0,0,0.00274506
05/12/2023 04:00,0,0.017836823,0,0.006501206,0,0,0
05/12/2023 05:00,0,5.05E-06,0,0,0,0,0
05/12/2023 06:00,0,0,4.16E-07,0,0,0,0.006494476
05/12/2023 07:00,0,8.43E-06,0.000163381,0.00409911,0,0,0.029331894
05/12/2023 08:00,0,0.004547543,7.38E-06,0.009817715,0,0,0.025187447
05/12/2023 09:00,0,0.00503152,0,0.003957271,0,0,0.003261682
05/12/2023 10:00,0,0.000112462,0,0,0,0,0
05/12/2023 11:00,0,0,0,0,0,0,0
05/12/2023 12:00,0,0.000610341,0.000153776,0.00091794,0,0,0.004008483
05/12/2023 13:00,0,0.036543401,0.000379714,0.030189756,0,0,0.040427522
05/12/2023 14:00,0,0.059542276,0.000137082,0.064633749,0,0,0.04912958
05/12/2023 15:00,0,0.037950695,0,0.037219157,0,0,0.011108781
05/12/2023 16:00,0,0.004245274,0,0.001941669,0,0,0
05/12/2023 17:00,0,0,0,0,0,0,0
05/12/2023 18:00,0,0,0.000856548,0.002417974,0,0,0.005086393
05/12/2023 19:00,0,0.029949369,0.002122045,0.035609103,0,0,0.04862319
05/12/2023 20:00,0,0.157554848,0.001279369,0.063205703,0,0,0.068671982
05/12/2023 21:00,0,0.28671224,0.000223952,0.048757436,0,0,0.029261774
05/12/2023 22:00,0,0.197234362,0,0.014409928,0,0,0.000907802
05/12/2023 23:00,0,0.039693523,0,8.14E-05,0,0,0
06/12/2023 00:00,0,0,0,0,0,0,1.07E-07
06/12/2023 01:00,0,3.27E-07,0.0001828,0.001120698,0,0,0.024735498
06/12/2023 02:00,0,0.035080404,0.000777386,0.040742124,0,0,0.084100288
06/12/2023 03:00,0,0.080629194,0.000272312,0.095996437,0,0,0.071151545
06/12/2023 04:00,0,0.079856906,1.41E-08,0.06626251,0,0,0.012370622
06/12/2023 05:00,0,0.026951122,0,0.013030235,0,0,0
06/12/2023 06:00,0,0.000477928,0,0,0,0,0
06/12/2023 07:00,0,0,0,0,0,0,0.000206256
06/12/2023 08:00,0,0,2.11E-05,0.000936925,0,0,0.006807231
06/12/2023 09:00,0,0.000636394,2.41E-07,0.005605538,0,0,0.006531908
06/12/2023 10:00,0,0.001494194,0,0.002990205,0,0,0.000355927
06/12/2023 11:00,0,0,0,1.25E-11,0,0,0
06/12/2023 12:00,0,0,0,0,0,0,0
06/12/2023 13:00,0,0.001370477,7.67E-05,0.00032691,0,0,0.00845849
06/12/2023 14:00,0,0.04441355,0.000564507,0.026099703,0,0,0.063411064
06/12/2023 15:00,0,0.081284606,0.000399567,0.070081889,0,0,0.084473326
06/12/2023 16:00,0,0.059920022,3.79E-06,0.048891601,0,0,0.026670004
06/12/2023 17:00,0,0.012100193,0,0.005857858,0,0,6.74E-05
06/12/2023 18:00,0,0,0,0,0,0,0
06/12/2023 19:00,0,0,0.000121347,0.000350695,0,0,0.000141569
06/12/2023 20:00,0,0.009000526,0.001282549,0.026984086,0,0,0.015907811
06/12/2023 21:00,0,0.092461699,0.000770364,0.061454519,0,0,0.029617191
06/12/2023 22:00,0,0.165030758,5.30E-05,0.050309013,0,0,0.01238756
06/12/2023 23:00,0,0.141874923,0,0.014538144,0,0,0.000120376
07/12/2023 00:00,0,0.018401193,0,1.13E-05,0,0,0
07/12/2023 01:00,0,0,0,0,0,0,3.26E-05
07/12/2023 02:00,0,0.004829918,0.000729852,0.004163023,0,0,0.034741331
07/12/2023 03:00,0,0.10806778,0.001474613,0.075120545,0,0,0.121849512
07/12/2023 04:00,0,0.197644219,0.001566473,0.152712099,0,0,0.105111195
07/12/2023 05:00,0,0.148658462,0.000244962,0.09885654,0,0,0.024244753
07/12/2023 06:00,0,0.047305947,0,0.018017136,0,0,5.03E-06
07/12/2023 07:00,0,0.002744766,0,3.71E-07,0,0,0
07/12/2023 08:00,0,0,0,0,0,0,3.20E-06
07/12/2023 09:00,0,0,2.13E-05,0.005391726,0,0,0.003979392
07/12/2023 10:00,0,0.000977925,2.26E-05,0.018915188,0,0,0.006013642
07/12/2023 11:00,0,0.004732322,0,0.014454623,0,0,0.000289874
07/12/2023 12:00,0,0.00031082,0,0.001487958,0,0,0
07/12/2023 13:00,0,0,0,0,0,0,0
