time,A1,A2,A3,A4,A5,A6,A7
2025-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0005490397257372122
2025-10-01 01:00:00,0.0,0.00013006627369332172,1.370005351156185e-06,8.873533119320524e-05,0.0,0.0,0.012874869071132083
2025-10-01 02:00:00,0.0,0.018076311801886485,2.830963164305073e-05,0.008475868457177828,0.0,0.0,0.01914202605560926
2025-10-01 03:00:00,0.0,0.03633785422837364,6.209780060882606e-06,0.022519279732089205,0.0,0.0,0.005832176600246657
2025-10-01 04:00:00,0.0,0.027344792699246806,0.0,0.015950776651005447,0.0,0.0,0.0
2025-10-01 05:00:00,0.0,0.007285739551699826,0.0,0.0020751201967997073,0.0,0.0,0.0
2025-10-01 06:00:00,0.0,5.7665959492774144e-05,0.0,0.0,0.0,0.0,0.0
2025-10-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0001429372437870402
2025-10-01 08:00:00,0.0,0.0,0.0,5.4810009201442655e-06,0.0,0.0,0.0011079481314943893
2025-10-01 09:00:00,0.0,0.0,0.0,0.0004731399059513256,0.0,0.0,0.0002669258313725642
2025-10-01 10:00:00,0.0,0.0,0.0,9.986935166536563e-05,0.0,0.0,0.0
2025-10-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01 13:00:00,0.0,0.002589614106231147,4.037068862832551e-07,3.5526230016450634e-05,0.0,0.0,0.0002591522975917401
2025-10-01 14:00:00,0.0,0.037599983733152306,0.00017330045490298018,0.0126292027557089,0.0,0.0,0.0065265199360303484
2025-10-01 15:00:00,0.0,0.07660655593809695,0.00029129611082582445,0.04530517516557825,0.0,0.0,0.007850935546874995
2025-10-01 16:00:00,0.0,0.06661835599169985,2.5989511987080263e-05,0.04871271063216945,0.0,0.0,0.000858617067417907
2025-10-01 17:00:00,0.0,0.028302348404505826,0.0,0.016813954302447347,0.0,0.0,0.0
2025-10-01 18:00:00,0.0,0.002284164434582752,0.0,0.0001565441208331798,0.0,0.0,0.0
2025-10-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.2507440504163963e-08
2025-10-01 20:00:00,0.0,0.0,2.120335872438264e-05,0.0005208627055115086,0.0,0.0,0.0032743454000925777
2025-10-01 21:00:00,0.0,0.0028404664940270595,0.0001879621421571299,0.014229469047220998,0.0,0.0,0.0076102606317439364
2025-10-01 22:00:00,0.0,0.025121488480927982,2.266471756297109e-05,0.023599328702692907,0.0,0.0,0.004247996475697664
2025-10-01 23:00:00,0.0,0.028436496553747668,0.0,0.012299744174541629,0.0,0.0,9.501199084164227e-05
2025-10-02 00:00:00,0.0,0.009877544124801404,0.0,0.0006182273383599792,0.0,0.0,0.0
2025-10-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02 02:00:00,0.0,0.0,3.0072051189069587e-05,0.0,0.0,0.0,0.0003829526208620152
2025-10-02 03:00:00,0.0,0.021105302814736646,0.0005629079468780861,0.011865671259458577,0.0,0.0,0.013504226362246964
2025-10-02 04:00:00,0.0,0.08542895453967149,0.0005363886304915064,0.06006826497777223,0.0,0.0,0.0219533868139418
2025-10-02 05:00:00,0.0,0.08013042668926165,7.100710811124484e-05,0.07063570906956637,0.0,0.0,0.008005209212437489
2025-10-02 06:00:00,0.0,0.03987919916070075,0.0,0.030834324045550785,0.0,0.0,8.885580029077684e-06
2025-10-02 07:00:00,0.0,0.005252281493706987,0.0,0.0012953904847824943,0.0,0.0,0.0
2025-10-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02 09:00:00,0.0,0.0,3.5222611900356e-05,8.227072309144539e-05,0.0,0.0,0.0010550314366943416
2025-10-02 10:00:00,0.0,0.0013206637139991542,0.00014368559860013385,0.011578565585435486,0.0,0.0,0.005728515975413597
2025-10-02 11:00:00,0.0,0.016195690748454814,8.88558002907764e-06,0.017482382003598855,0.0,0.0,0.002873097448902929
2025-10-02 12:00:00,0.0,0.01632771700819908,0.0,0.007023905944053604,0.0,0.0,3.3994342805368705e-06
2025-10-02 13:00:00,0.0,0.0019021809729110484,0.0,1.259262087153155e-05,0.0,0.0,0.0
2025-10-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02 15:00:00,0.0,0.00030747961191245895,0.0003420049476865827,0.0005102744339357601,0.0,0.0,0.015276140046285795
2025-10-02 16:00:00,0.0,0.03921323980594438,0.00025136686510697173,0.025283199859993413,0.0,0.0,0.06799176758735931
2025-10-02 17:00:00,0.0,0.06458420575175144,0.0003122855773911994,0.060208965470996696,0.0,0.0,0.06892637261044292
2025-10-02 18:00:00,0.0,0.035617537305065554,0.0,0.030223059094858125,0.0,0.0,0.01562507324227334
2025-10-02 19:00:00,0.0,0.0027999341093787513,0.0,0.0007570709381320138,0.0,0.0,7.449707584332695e-15
2025-10-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02 21:00:00,0.0,1.956412032212477e-05,0.0010321996996076521,0.007967118447746177,0.0,0.0,0.00028571138524135907
2025-10-02 22:00:00,0.0,0.042460241584779526,0.0014216401414519238,0.06222593364147497,0.0,0.0,0.015245883745125527
2025-10-02 23:00:00,0.0,0.16401877472472956,0.000885423482781647,0.08253735188010046,0.0,0.0,0.023716839874406283
2025-10-03 00:00:00,0.0,0.24840581071463122,4.702395145586411e-05,0.051722495069147986,0.0,0.0,0.00970598052938215
