time,A1,A2,A3,A4,A5,A6,A7
2024-11-01 00:00:00,0.0,0.04536007314885122,0.0,0.11575038535123831,0.0,0.0,0.23325464978875124
2024-11-01 01:00:00,0.0,0.6728533969891823,0.0,0.3179672079202491,0.0,0.0,0.6734047616198758
2024-11-01 02:00:00,0.0,1.0,0.0,0.3081965463191651,0.0,0.0,0.5772634676248283
2024-11-01 03:00:00,0.0,1.0,0.0,0.1407150147283093,0.0,0.0,0.18600191527016555
2024-11-01 04:00:00,0.0,0.4970150277689542,0.0,0.010393791682725246,0.0,0.0,0.0036224752488498843
2024-11-01 05:00:00,0.0,0.0021796308258451285,0.0,0.0,0.0,0.0,0.0
2024-11-01 06:00:00,0.0,0.04675613856211565,0.0,0.08944803011560376,0.0,0.0,0.09592425764068864
2024-11-01 07:00:00,0.0,0.5695522630773182,0.0,0.6765778759561072,0.0,0.0,0.5861169769554934
2024-11-01 08:00:00,0.0,0.8890611346461937,0.0,0.8170325457389268,0.0,0.0,0.7248488819848581
2024-11-01 09:00:00,0.0,0.48890623073005635,0.0,0.375359838014583,0.0,0.0,0.255008679943133
2024-11-01 10:00:00,0.0,0.07924606463713814,0.0,0.03424744477014223,0.0,0.0,0.0032332770843629135
2024-11-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 12:00:00,0.0,0.008386813173969868,0.0,0.06461578372858724,0.0,0.0,0.12022972185544571
2024-11-01 13:00:00,0.0,0.4206249792933041,0.0,0.27541905107613973,0.0,0.0,0.5941627657163421
2024-11-01 14:00:00,0.0,1.0,0.0,0.30278317197077487,0.0,0.0,0.6613851230255855
2024-11-01 15:00:00,0.0,1.0,0.0,0.15991930128211373,0.0,0.0,0.28840788439183235
2024-11-01 16:00:00,0.0,0.6101163378017339,0.0,0.019317345065498287,0.0,0.0,0.02172040154965876
2024-11-01 17:00:00,0.0,0.014227232769833585,0.0,0.0,0.0,0.0,0.0
2024-11-01 18:00:00,0.0,0.009963145873547628,0.0,0.040311600751379614,0.0,0.0,0.02925689003117599
2024-11-01 19:00:00,0.0,0.47215810173522993,0.0,0.5614937373436907,0.0,0.0,0.42824310965012735
2024-11-01 20:00:00,0.0,0.9047426299873681,0.0,0.8345216674581537,0.0,0.0,0.7413239949777229
2024-11-01 21:00:00,0.0,0.5711745549041077,0.0,0.4511570489063537,0.0,0.0,0.3566738027498196
2024-11-01 22:00:00,0.0,0.13209985188078086,0.0,0.05817505845801533,0.0,0.0,0.017473320392341105
2024-11-01 23:00:00,0.0,1.2102121174878925e-05,0.0,0.0,0.0,0.0,0.0
2024-11-02 00:00:00,0.0,0.0017298476798212306,0.0,0.06097891273824378,0.0,0.0,0.07078610918032927
2024-11-02 01:00:00,0.0,0.3645855297889484,0.0,0.2936459181688938,0.0,0.0,0.5485170452383529
2024-11-02 02:00:00,0.0,1.0,0.0,0.36361336976848724,0.0,0.0,0.7427581002721397
2024-11-02 03:00:00,0.0,1.0,0.0,0.22423723039429933,0.0,0.0,0.37601201610671997
2024-11-02 04:00:00,0.0,1.0,0.0,0.052822607659175985,0.0,0.0,0.04779428791167571
2024-11-02 05:00:00,0.0,0.06773689794948402,0.0,0.0,0.0,0.0,0.0
2024-11-02 06:00:00,0.0,0.00039416791147650447,0.0,0.011343276687188888,0.0,0.0,0.011046718985018899
2024-11-02 07:00:00,0.0,0.4585238464769636,0.0,0.45776015011615495,0.0,0.0,0.3880266246612259
2024-11-02 08:00:00,0.0,1.0,0.0,0.9680076068233073,0.0,0.0,0.8659385712776929
2024-11-02 09:00:00,0.0,0.9400032389777944,0.0,0.7374824052847039,0.0,0.0,0.5637589248413741
2024-11-02 10:00:00,0.0,0.3540142927148089,0.0,0.211126758333128,0.0,0.0,0.07278418234045686
2024-11-02 11:00:00,0.0,0.02954694385023902,0.0,0.0034344090320458194,0.0,0.0,0.0
2024-11-02 12:00:00,0.0,0.0,0.0,0.0021615371650621903,0.0,0.0,0.015999061973787764
2024-11-02 13:00:00,0.0,0.043881205599041545,0.0,0.1440055670793706,0.0,0.0,0.3821426320435311
2024-11-02 14:00:00,0.0,0.57394184997807,0.0,0.2792122168125334,0.0,0.0,0.7430354902507755
2024-11-02 15:00:00,0.0,1.0,0.0,0.20832712409065823,0.0,0.0,0.4937199283573546
2024-11-02 16:00:00,0.0,0.8725192927547728,0.0,0.05530739779288234,0.0,0.0,0.1075925560496417
2024-11-02 17:00:00,0.0,0.120421750490006,0.0,1.1863754990302377e-05,0.0,0.0,1.1958962683074114e-05
2024-11-02 18:00:00,0.0,0.0,0.0,0.0036348146196883008,0.0,0.0,0.00013510231018286305
2024-11-02 19:00:00,0.0,0.28010119528834193,0.0,0.32310442160630487,0.0,0.0,0.21409033035913688
2024-11-02 20:00:00,0.0,0.889540539021653,0.0,0.9185193980022275,0.0,0.0,0.7184203459472653
2024-11-02 21:00:00,0.0,0.8241537232893938,0.0,0.7359012218173662,0.0,0.0,0.628558294824034
2024-11-02 22:00:00,0.0,0.3404957360163669,0.0,0.22179491418383415,0.0,0.0,0.1296331742776968
2024-11-02 23:00:00,0.0,0.02631252089693024,0.0,0.0039771230460195406,0.0,0.0,0.0
2024-11-03 00:00:00,0.0,0.0,0.0,0.0019826424576308297,0.0,0.0,0.0028009167391041074
2024-11-03 01:00:00,0.0,0.07935045552382922,0.0,0.17666382715841597,0.0,0.0,0.29147610106442723
2024-11-03 02:00:00,0.0,0.8789816164534734,0.0,0.37016762643874956,0.0,0.0,0.75110515242238
